"","words","term.freq","doc.freq"
"37580","belle",12,10
"37581","refreshing",2,2
"37582","hedge",3,2
"37583","wiled",2,2
"37584","juut",1,1
"37585","ftnd",10,9
"37586","onthusi",1,1
"37587","woodland",5,4
"37588","con-ast",1,1
"37589","noms",8,4
"37590","ceals",2,1
"37591","ano",13,9
"37592","tieus",1,1
"37593","ggmmmme",1,1
"37594","lgervm",1,1
"37595","jokes",5,5
"37596","uu,e",1,1
"37597","jufklr",1,1
"37598","ha.ulsomoc.donel",1,1
"37599","sabr.ve",1,1
"37600","lund",1,1
"37601","carted",1,1
"37602","robuin",1,1
"37603","lc.g",1,1
"37604","orehanls",1,1
"37605","notw.thshmd.ng",1,1
"37606","ooccntno",1,1
"37607","toss%s",1,1
"37608","aîsïftrfett",1,1
"37609","zwmfi",1,1
"37610","ch;kls",1,1
"37611","slouch",5,4
"37612","undress",3,3
"37613","hall.and",1,1
"37614","disagreed",1,1
"37615","brusquely",2,2
"37616","relenting",1,1
"37617","hemmed",2,1
"37618","closrt",1,1
"37619","pervivttl",1,1
"37620","hainan",6,4
"37621","wjth",11,9
"37622","cuinpuocticu",1,1
"37623","unnlialconduct",1,1
"37624","t«k",2,2
"37625","replaced",10,9
"37626","a]jy",1,1
"37627","sister-ill",1,1
"37628","pangs",2,2
"37629","jierfonned",1,1
"37630","ditiunal",1,1
"37631","surgical",3,3
"37632","garment",6,5
"37633","ofhmce",1,1
"37634","eared",6,4
"37635","onel",5,4
"37636","strokmg",1,1
"37637","beard.and",1,1
"37638","chieftain",3,3
"37639","arrived.-lwur",1,1
"37640","apjiearance",2,2
"37641","enemy's",3,2
"37642","bullets",5,3
"37643","ball-room",10,5
"37644","meditative",1,1
"37645","vesterday",1,1
"37646","qu'te",1,1
"37647","crystal",23,19
"37648","devotee",3,3
"37649","sir.joseph",1,1
"37650","paxton",1,1
"37651","wins",5,5
"37652","architects",1,1
"37653","lund*sir",1,1
"37654","nome",6,5
"37655","hurray",1,1
"37656","t-o-mor",1,1
"37657","fortuno",1,1
"37658","accompanying",7,6
"37659","dustry",3,3
"37660","trundling",1,1
"37661","barrow",1,1
"37662","lolling",2,2
"37663","coach-and-six",1,1
"37664","bismark",2,2
"37665","variegated",3,3
"37666","corsets",11,10
"37667","liuod",2,2
"37668","ottawa's",1,1
"37669","regaled",2,2
"37670","anecdote",3,3
"37671","piazza",2,2
"37672","brockville",5,4
"37673","policemen",7,4
"37674","aasuran-american",1,1
"37675","commodore",4,3
"37676","oes",3,3
"37677","breaksmen",1,1
"37678","affably",1,1
"37679","loser",3,3
"37680","identify",5,5
"37681","robber",4,3
"37682","cames",1,1
"37683","sniffed",1,1
"37684","resir",1,1
"37685","breaksuum",1,1
"37686","shjhised",1,1
"37687","revealtion",1,1
"37688","staten",4,4
"37689","peddling",1,1
"37690","drunk-onel",1,1
"37691","oysters",8,6
"37692","vouched",4,3
"37693","justifiable",3,3
"37694","versât",1,1
"37695","manl",1,1
"37696","fam",6,6
"37697","iler",4,4
"37698","exprès",5,5
"37699","betw",5,5
"37700","rng-that",1,1
"37701","cnced",1,1
"37702","yeomen",1,1
"37703","aristocracy",3,3
"37704","gun-powder",1,1
"37705","extien-have",1,1
"37706","raili",4,4
"37707","ngn",1,1
"37708","neutrew",1,1
"37709","aomr",1,1
"37710","apprentim",1,1
"37711","wantdd",1,1
"37712","itotioe",1,1
"37713","forvo",1,1
"37714","fivuj",1,1
"37715","proaidou",1,1
"37716","vnuod",1,1
"37717","apy",1,1
"37718","poreona",1,1
"37719","allay",8,7
"37720","wronged",3,3
"37721","vndvnce",1,1
"37722","ioeddy",1,1
"37723","commencing",26,19
"37724","long-taikixl",1,1
"37725","hettdav",1,1
"37726","r?tb",1,1
"37727","vomit",3,3
"37728","embark",2,2
"37729","biddings",1,1
"37730","tiomhtand",1,1
"37731","w*e",2,2
"37732","isc",5,5
"37733","wsv",2,2
"37734","ooo",10,10
"37735","undrisiat.fi",1,1
"37736","comukklinue",1,1
"37737","wuc",1,1
"37738","hovhe",2,2
"37739","inl",5,5
"37740","iitilld",1,1
"37741","isd",1,1
"37742","srm",1,1
"37743","cunihwttnn",1,1
"37744","tle*mrtth",1,1
"37745","mein-dinmic",1,1
"37746","j«vvor",1,1
"37747","dagger",4,3
"37748","arousts",1,1
"37749","atepicioii",1,1
"37750","vtluge",1,1
"37751","shall-'«ot",1,1
"37752","le-sv",1,1
"37753","ineihld",1,1
"37754","iisiuann",1,1
"37755","taat",2,2
"37756","oaiimiü",1,1
"37757","c-vhêiile",1,1
"37758","whlob",1,1
"37759","haiipeu",1,1
"37760","nrid*i'vi'f",1,1
"37761","ba}«au",1,1
"37762","tacl",1,1
"37763","oooli",1,1
"37764","akt",2,2
"37765","flfteea",1,1
"37766","fwar",1,1
"37767","irani",10,8
"37768","mloemakino",1,1
"37769","im.h",1,1
"37770","h.irs",1,1
"37771","nulwny",1,1
"37772","rlvwr",1,1
"37773","irnvk",1,1
"37774","inorgy",1,1
"37775","uryaoo",1,1
"37776","h-ruia",1,1
"37777","oltox",3,3
"37778","coughlin",6,5
"37779","oimcil",1,1
"37780","wvd",1,1
"37781","mtrhflrm",1,1
"37782","vuutt",1,1
"37783","utah",1,1
"37784","m*rt",1,1
"37785","yellowstone",1,1
"37786","kidnap",2,2
"37787","farry",1,1
"37788","currently",2,2
"37789","rted",6,6
"37790","trustworthy",8,8
"37791","posée",1,1
"37792","kidnappers",1,1
"37793","riding",13,12
"37794","firearms",4,4
"37795","resembling",4,4
"37796","regulauus",1,1
"37797","camped",4,4
"37798","willow",1,1
"37799","prospecting",6,5
"37800","expedition",48,23
"37801","corral",1,1
"37802","caves",1,1
"37803","insotn",1,1
"37804","ivsident",1,1
"37805","extorted",2,2
"37806","talian",1,1
"37807","banditti",1,1
"37808","an)escaped",1,1
"37809","guerillas",1,1
"37810","laio",1,1
"37811","whr",2,2
"37812","flv",4,4
"37813","shoshone",1,1
"37814","bannock",1,1
"37815","pervading",1,1
"37816","guides",2,2
"37817","rifles",8,6
"37818","scalping",1,1
"37819","asido",1,1
"37820","rosuseitatcd",1,1
"37821","italians",4,2
"37822","rtv",2,2
"37823","claus",6,3
"37824","chambord",2,2
"37825","f*ciliti",1,1
"37826","truimport",1,1
"37827","cowboy",4,3
"37828","tltqtttitq.tt",1,1
"37829","w,'r",1,1
"37830","bourbon",3,3
"37831","pn.,x,sod",1,1
"37832","sumer",2,2
"37833","iw.y",1,1
"37834","n'a",1,1
"37835","descendent",1,1
"37836","navarre",1,1
"37837","slure",1,1
"37838","devonshire",4,4
"37839","auty.h",1,1
"37840","afnif",1,1
"37841","comte",6,3
"37842","ploied",1,1
"37843","bu.vkl",1,1
"37844","iluy",1,1
"37845","imuiudieuily",1,1
"37846","mehtng",1,1
"37847","ukrn",1,1
"37848","f*»r",4,4
"37849","rajs",1,1
"37850","uouu",1,1
"37851","cahinet",1,1
"37852","aufutl",1,1
"37853","intk",1,1
"37854","liuen",1,1
"37855","wbo",5,5
"37856","nwl",1,1
"37857","ismm",1,1
"37858","builnww",1,1
"37859","nwtlâtrly",1,1
"37860","h«.y",1,1
"37861","errand",7,7
"37862","ditiinitely",1,1
"37863","c-'uniy",1,1
"37864","tli»t",2,2
"37865","nonconformist",1,1
"37866","iwn",3,3
"37867","iwww»i",1,1
"37868","undmrsignml",1,1
"37869","grinding",11,10
"37870","rime",7,7
"37871","le#ere",1,1
"37872","prepamd",1,1
"37873","gtv",3,3
"37874","aatiafaction",2,2
"37875","mrcabe",1,1
"37876","linvd",1,1
"37877","forservice",1,1
"37878","costa",5,5
"37879","payers",5,4
"37880","cmivingr",1,1
"37881","allg",1,1
"37882","by-law",14,8
"37883","coudem",1,1
"37884","f'»r",1,1
"37885","natory",1,1
"37886","lottlors",1,1
"37887","structnm",1,1
"37888","forthwith",13,11
"37889","aplsndtd",1,1
"37890","projected",8,6
"37891","uontia",1,1
"37892","paellte",1,1
"37893","wul",9,7
"37894","wap",3,3
"37895","commenc",2,2
"37896","premia",6,6
"37897","post-office",9,4
"37898","varrive",1,1
"37899","flout",2,2
"37900","fifty-eight",3,3
"37901","telford",7,5
"37902","gaen",1,1
"37903","whidb-ihe",1,1
"37904","n.ntioii",1,1
"37905","one-sided",1,1
"37906","cited",10,10
"37907","ipality",1,1
"37908","chlcliester",1,1
"37909","fug",6,6
"37910","lieh",2,2
"37911","bngllbh",1,1
"37912","tuak",1,1
"37913","layers",11,8
"37914","lacrosa",1,1
"37915","inpaiiy",1,1
"37916","instinct",7,7
"37917","pth",4,4
"37918","penny",10,10
"37919","distri",1,1
"37920","ex-at",1,1
"37921","cess",11,11
"37922","o\ery",1,1
"37923","regardmg",1,1
"37924","phi",12,10
"37925","ltrchlvnt",1,1
"37926","severn",1,1
"37927","taunton",2,1
"37928","wellington",21,17
"37929","pare",3,3
"37930","pajk'i",1,1
"37931","exeat-exeter",1,1
"37932","f*u",4,4
"37933","aave",1,1
"37934","grandson",7,6
"37935","philip",5,3
"37936","bourgeoise",1,1
"37937","j«ass",1,1
"37938","egutito",1,1
"37939","legiti-eompletion",1,1
"37940","tamo",4,4
"37941","ptlrn*ll",1,1
"37942","prive",5,5
"37943","bnyen",1,1
"37944","vnlideiivv",1,1
"37945","urgy",1,1
"37946","labour",22,11
"37947","plymouth",8,7
"37948","newspajiers",1,1
"37949","unani-shortly",1,1
"37950","mously",1,1
"37951","mon-oelors",1,1
"37952","nality",1,1
"37953","irvhy",1,1
"37954","elile",1,1
"37955","enel",2,2
"37956","liqtors",1,1
"37957","xnother",1,1
"37958","bv-law",1,1
"37959","hpedulity",1,1
"37960","bn*i-nv",1,1
"37961","srii-s",1,1
"37962","roly",2,2
"37963","iijw'ii",1,1
"37964","gettinx",1,1
"37965","unt",5,5
"37966","cinb",1,1
"37967","man'a",1,1
"37968","s.'artt",1,1
"37969","umon",1,1
"37970","dimensions",5,5
"37971","remedied",4,4
"37972","apjiearcd",1,1
"37973","chamber,exclaiming",1,1
"37974","uoi",2,2
"37975","thuuted",1,1
"37976","yeve",1,1
"37977","required,so",1,1
"37978","republicanism",1,1
"37979","vnd-the",1,1
"37980","desjxitism",1,1
"37981","tithxl",1,1
"37982","weie",7,7
"37983","rejection",4,4
"37984","bv-iaw",1,1
"37985","rideau",13,10
"37986","well-informed",1,1
"37987","corresjmindent",1,1
"37988","cardiff",3,1
"37989","manchestei",1,1
"37990","outlet",7,5
"37991","neai",2,2
"37992","stolford",3,1
"37993","angle",4,4
"37994","parrot",9,3
"37995","possesses",13,10
"37996","harboui",1,1
"37997","bridgewater",2,1
"37998","neap",2,2
"37999","joinbwitch",1,1
"38000","ream",5,5
"38001","barrett",1,1
"38002","utilised",2,2
"38003","jombwitch",1,1
"38004","u,fl",1,1
"38005","kxl",1,1
"38006","iddn-nm",1,1
"38007","umlrrsigiied",1,1
"38008","vullo",1,1
"38009","iur",14,11
"38010","r.-vfivol",1,1
"38011","oflvr",2,2
"38012","ii«-i",1,1
"38013","ixx",2,2
"38014","t'vr's",1,1
"38015","uflw",1,1
"38016","k.'fj",1,1
"38017","expel",5,5
"38018","lxing",1,1
"38019","coasters",2,1
"38020","ucevssful",1,1
"38021","intiquated",1,1
"38022","jtc",1,1
"38023","tugs",1,1
"38024","responai",1,1
"38025","manned",5,4
"38026","eithci",1,1
"38027","bility",8,8
"38028","theii",11,9
"38029","lius",1,1
"38030","masted",2,2
"38031","largi",1,1
"38032","tings",4,4
"38033","typicai",1,1
"38034","canvass",6,6
"38035","first-rat",1,1
"38036","dyle",2,2
"38037","enormou",1,1
"38038","nvt",1,1
"38039","thom",7,7
"38040","utawa",1,1
"38041","uulii",1,1
"38042","nla",3,3
"38043","ajh",1,1
"38044","wtoru",1,1
"38045","e»n",1,1
"38046","ri.m-tu",1,1
"38047","mondflv",1,1
"38048","xlu-rr",1,1
"38049","fuiuu",1,1
"38050","mikii",1,1
"38051","alt-u",1,1
"38052","tallied",4,4
"38053","couh-ivtoi",1,1
"38054","ruum",1,1
"38055","iwnr",1,1
"38056","t**n",1,1
"38057","iileml",1,1
"38058","imita",3,3
"38059","ntm-th",1,1
"38060","an-nlanw",1,1
"38061","wuli",1,1
"38062","printixl",1,1
"38063","a-mir",1,1
"38064","aeemnpany",1,1
"38065","tvn-ier",1,1
"38066","lorfiild",1,1
"38067","tiwid",1,1
"38068","declinea",1,1
"38069","t,*d",1,1
"38070","otfrr",1,1
"38071","nihiuit",1,1
"38072","professoi",1,1
"38073","booths",4,4
"38074","hpipic",1,1
"38075","voi",8,7
"38076","aiid",4,4
"38077","sera",4,4
"38078","macmnes",1,1
"38079","lism",1,1
"38080","rmiiiiof",1,1
"38081","ixl",4,4
"38082","elwqtv",1,1
"38083","v.ill",2,2
"38084","tun.nl",1,1
"38085","r.*-s",1,1
"38086","oetn",1,1
"38087","pwims",1,1
"38088","uhoh",1,1
"38089","aeeepuxl",1,1
"38090","fulfllment",1,1
"38091","uuvti",1,1
"38092","depneit",1,1
"38093","aiimmit",1,1
"38094","ûve",1,1
"38095","eenl",1,1
"38096","vtiu",1,1
"38097","l)i",4,4
"38098","kirtinenr",1,1
"38099","l.oi",2,2
"38100","rakû",1,1
"38101","vem",1,1
"38102","rilfi",1,1
"38103","pepper",11,9
"38104","natulactorv",1,1
"38105","d-v",1,1
"38106","iwlf",1,1
"38107","kxceli",1,1
"38108","tawing",1,1
"38109","maibiucd",1,1
"38110","hiapi.ky",1,1
"38111","ballantink",1,1
"38112","con*tni",1,1
"38113","pepiihm",1,1
"38114","r»:ujjs«ud",1,1
"38115","cotn",1,1
"38116","masts",3,3
"38117","bridgewatei",1,1
"38118","towod",1,1
"38119","orpool",1,1
"38120","derelect",1,1
"38121","i-awing",1,1
"38122","cellirton",1,1
"38123","stoke",2,2
"38124","cannon",16,14
"38125","ength",1,1
"38126","aides",3,3
"38127","mjpm",1,1
"38128","grater",1,1
"38129","xjuk",1,1
"38130","amsterdam",2,2
"38131","assertions",4,4
"38132","elated",7,7
"38133","pledges",3,3
"38134","redeemed",2,2
"38135","diroctet",1,1
"38136","nothi",1,1
"38137","em.gration",1,1
"38138","prwident",1,1
"38139","delusion",9,8
"38140","burthen",2,2
"38141","lowei",1,1
"38142","inter-channel",1,1
"38143","tand-.tül",1,1
"38144","tme",3,3
"38145","kta,ketl",1,1
"38146","mde",1,1
"38147","belgium",8,5
"38148","languishing",2,2
"38149","cision",1,1
"38150","parlia",4,4
"38151","bhese",1,1
"38152","prorogued",3,3
"38153","hvii",1,1
"38154","hopeless",11,10
"38155","inbruke",1,1
"38156","asso",3,3
"38157","danu",2,2
"38158","cution",2,2
"38159","engluh",1,1
"38160","seaborne",1,1
"38161","bvih",1,1
"38162","sliape",1,1
"38163","discrepancy",3,3
"38164","ozaoo",1,1
"38165","futun",1,1
"38166","rausod",1,1
"38167","comparing",1,1
"38168","colliers",1,1
"38169","lon-the",1,1
"38170","equi",1,1
"38171","grandest",10,8
"38172","tw*entwo",1,1
"38173","tret",2,2
"38174","vloss",2,2
"38175","vlnhe",1,1
"38176","balloon",19,10
"38177","atheletic",3,2
"38178","sportss",1,1
"38179","developcment",2,2
"38180","th-night",1,1
"38181","johi",2,2
"38182","residuum",1,1
"38183","laborers",7,7
"38184","off-scouring",1,1
"38185","slums",2,2
"38186","pecu",1,1
"38187","beorb",1,1
"38188","vifl",1,1
"38189","mushroom",2,2
"38190","work-house",1,1
"38191","jieculear",1,1
"38192","effete",4,4
"38193","civilian",1,1
"38194","thames",4,4
"38195","imss",3,3
"38196","strihb",1,1
"38197","ttendahce",1,1
"38198","prosecute",4,3
"38199","legislators",3,3
"38200","phil&nlhrophists",1,1
"38201","cai",7,7
"38202","tonnage",4,4
"38203","canad",1,1
"38204","api",8,8
"38205","vva,lta",1,1
"38206","lheae",1,1
"38207","in,becility",1,1
"38208","provid",1,1
"38209","tossinq",1,1
"38210","jltinaiiiy",1,1
"38211","lligh",1,1
"38212","strix",1,1
"38213","inrj",1,1
"38214","rfttrdle",1,1
"38215","f*mg",1,1
"38216","lumberman",4,3
"38217","btmt",1,1
"38218","surpassing",2,2
"38219","diking",2,2
"38220","emdcuitrir;n",1,1
"38221","uoney",1,1
"38222","waterw",1,1
"38223","eastwaid",1,1
"38224","biest",1,1
"38225","utput",1,1
"38226","inor'ea",1,1
"38227","mos",4,4
"38228","htaîoïæiï",1,1
"38229","w*ul",2,2
"38230","w.tch",2,2
"38231","giftta",1,1
"38232","boaid",2,2
"38233","cular",2,2
"38234","jiosi-tion",1,1
"38235","spokesman-moved",1,1
"38236","shovelful",1,1
"38237","absorb",5,4
"38238","jier",7,7
"38239","indefinite",2,2
"38240","msijered",1,1
"38241","tolerably",4,4
"38242","nersor",1,1
"38243","tribes",21,14
"38244","hhhh",2,2
"38245","hrtimiini;liani",1,1
"38246","navigations",1,1
"38247","taff",1,1
"38248","veatem",1,1
"38249","whereby",8,8
"38250","j.laer",1,1
"38251","paujiers",1,1
"38252","sjiiii",1,1
"38253","manifested",10,9
"38254","ktion",1,1
"38255","dom",6,5
"38256","ucec",1,1
"38257","iafied",1,1
"38258","astute",3,3
"38259","frien",2,2
"38260","tale",16,14
"38261","graes",1,1
"38262","reaponaible",1,1
"38263","uri,lu",1,1
"38264","puution",1,1
"38265","wlthont",1,1
"38266","improbable",4,4
"38267","wem",2,2
"38268","itla",1,1
"38269","rcumstances",1,1
"38270","beet",34,25
"38271","dictator",1,1
"38272","undstion",1,1
"38273","trul",1,1
"38274","prut«ction",1,1
"38275","hl,ll",1,1
"38276","k,ck",1,1
"38277","contractor's",2,2
"38278","wa,,t",1,1
"38279","e,cep",1,1
"38280","jmv",1,1
"38281","concluding",9,8
"38282","dramatic",5,5
"38283","m*n",5,5
"38284","full-blooded",2,2
"38285","realization",2,2
"38286","conent",1,1
"38287","teds",1,1
"38288","giron",1,1
"38289","twuiflt",1,1
"38290","curt",7,7
"38291","mooney",11,11
"38292","vusprmmr",1,1
"38293","gands",1,1
"38294","blood-thirsty",2,2
"38295","detention",3,3
"38296","excellency",41,16
"38297","prtildent",1,1
"38298","oveen",1,1
"38299","ei»umbcr",1,1
"38300","lssc",1,1
"38301","srev",1,1
"38302","oc-accghstrr",1,1
"38303","yuunj",1,1
"38304","me,lived",1,1
"38305","shunting",1,1
"38306","waggon",50,23
"38307","t)r",1,1
"38308","frogs",1,1
"38309","soro",1,1
"38310","v*phy",1,1
"38311","geometry",1,1
"38312","promenade",3,3
"38313","bre",3,3
"38314","entia",1,1
"38315","accomplishment",9,9
"38316","aa.no",1,1
"38317","maf",2,2
"38318","nato",1,1
"38319","theru",2,2
"38320","rfkid",1,1
"38321","exhibits",6,5
"38322","r.comp",1,1
"38323","miration",2,2
"38324","parnell",3,3
"38325","grind",11,9
"38326","foliage",9,7
"38327","umber",2,2
"38328","portsnl",1,1
"38329","practicing",2,2
"38330","pa,t",1,1
"38331","intereating",1,1
"38332","devlin",12,5
"38333","uncle's",1,1
"38334","p.l",1,1
"38335","j»ast",1,1
"38336","lefufii",1,1
"38337","tfit",1,1
"38338","waite",1,1
"38339","hjh",2,2
"38340","audios",1,1
"38341","convoy",2,2
"38342","ctl",3,3
"38343","hoapital",2,2
"38344","sionaiy",1,1
"38345","uaiat",1,1
"38346","di.tr.c",1,1
"38347","inc.mpany",1,1
"38348","hodgine",1,1
"38349","wlîek",1,1
"38350","ilxive",1,1
"38351","k«ntlom»n",1,1
"38352","vi.it",1,1
"38353","avj",1,1
"38354","aw-»»l",1,1
"38355","p!y",1,1
"38356","vty",2,2
"38357","heroin",1,1
"38358","laftf",1,1
"38359","ngh",2,2
"38360","btil,lg",1,1
"38361","wh,rled",1,1
"38362","yces",1,1
"38363","byterian",2,2
"38364","mourti",1,1
"38365","ftrrived",1,1
"38366","i*et",1,1
"38367","tvt-s",1,1
"38368","zf.t",1,1
"38369","ssë",1,1
"38370","livorod",1,1
"38371","diphtheria",8,7
"38372","unerring",8,7
"38373","marksmen",2,2
"38374","taxidermist",1,1
"38375","îî.ïiiï",1,1
"38376","pickering",1,1
"38377","tuusday",1,1
"38378","littlé",1,1
"38379","monoes",1,1
"38380","mvbdkb",1,1
"38381","na;ia",1,1
"38382","noo",2,2
"38383","centired",1,1
"38384","jror",2,2
"38385","victs",1,1
"38386","poetivo",1,1
"38387","congregate",1,1
"38388","soliu",1,1
"38389","latterly",4,4
"38390","soldo",1,1
"38391","morose",1,1
"38392","h'pcn",1,1
"38393","enco",4,4
"38394","amateurs",2,2
"38395","jwirts",1,1
"38396","w,b",1,1
"38397","quanti",4,4
"38398","suc-markot",1,1
"38399","cessful",2,2
"38400","rejiorts",1,1
"38401","rebel",9,7
"38402","simpson",4,3
"38403","napoan",1,1
"38404","breezes",4,3
"38405","invalide",1,1
"38406","imst",2,2
"38407","opinion,a",1,1
"38408","e***r",1,1
"38409","sna",2,2
"38410","js*s",1,1
"38411","ehjeesf",1,1
"38412","umt",6,5
"38413","ireaen",1,1
"38414","oovemor-oenenu",1,1
"38415","ar""l,mcnt",1,1
"38416","eoune",1,1
"38417","li«ht",1,1
"38418","fantastic",7,6
"38419","i,as",1,1
"38420","blhck",1,1
"38421","alx.ut",1,1
"38422","rrru",1,1
"38423","canadiananimals",1,1
"38424","homely",7,6
"38425","heenîbusy",1,1
"38426","ace",18,15
"38427","hard-working",1,1
"38428","ducal",2,2
"38429","marc",5,3
"38430","season's",4,4
"38431","argyle",3,3
"38432","beavers",2,2
"38433","lacu",1,1
"38434","pfipwifes",1,1
"38435","pills",119,23
"38436","kune",1,1
"38437","ïtad",1,1
"38438","ixwsession",1,1
"38439","gale",11,11
"38440","erly",1,1
"38441","advertised",19,16
"38442","exhibitors",2,2
"38443","father-in-law",3,3
"38444","pmpective",1,1
"38445","thrash",2,2
"38446","eebs",1,1
"38447","ipgaggs",1,1
"38448","vadigan",1,1
"38449","unwelcome",4,3
"38450","cross-examination",3,3
"38451","hartford",5,4
"38452","éehseeelïill",1,1
"38453","ieeheb",1,1
"38454","vein",17,11
"38455","slo",1,1
"38456","rfnl",1,1
"38457","axc",1,1
"38458","hix",4,4
"38459","iixv",1,1
"38460","hl.x",1,1
"38461","bietori-in-law",1,1
"38462","r\!d",1,1
"38463","concession",10,8
"38464","jjowjr",1,1
"38465","offoits",1,1
"38466","sewn",2,2
"38467","deliveries",1,1
"38468","xfd",1,1
"38469","r,a",1,1
"38470","l,ainfl",1,1
"38471","maku",2,2
"38472","lcnionstration",1,1
"38473","enc",4,4
"38474","nrc.h",1,1
"38475","owvn",1,1
"38476","fiew",2,2
"38477","poli",2,2
"38478","thvo",1,1
"38479","borough",3,3
"38480","amngeraents",1,1
"38481","lvoly",1,1
"38482","prwoimr",1,1
"38483","axo",2,2
"38484","trawls",1,1
"38485","i-nd",1,1
"38486","l,ubhc",1,1
"38487","ta-u",1,1
"38488","ma/c",1,1
"38489","i.hore",1,1
"38490","shako",3,3
"38491","l;:e",1,1
"38492","repent",2,2
"38493","nnde",1,1
"38494","jaui",1,1
"38495","fiery",5,4
"38496","tweon",1,1
"38497","vo.i",1,1
"38498","muii.d",1,1
"38499","subsidence",1,1
"38500","maoup",1,1
"38501","wi.-i",1,1
"38502","t».e",1,1
"38503","volcanic",15,8
"38504","king-j",1,1
"38505","lois",2,2
"38506","zealand",1,1
"38507","acu",1,1
"38508","miinmte",1,1
"38509","dnm",1,1
"38510","batam",2,1
"38511","familiarly",2,2
"38512","cami",1,1
"38513","cxamined",1,1
"38514","exjw",1,1
"38515","riinced,but",1,1
"38516","u.t",2,2
"38517","hete",1,1
"38518","ablo",3,3
"38519","ixnrcr",1,1
"38520","coulonok",2,2
"38521","prose",8,8
"38522","atironki",1,1
"38523","ciliz.ii",1,1
"38524","riue",1,1
"38525","trif",1,1
"38526","iqion",2,2
"38527","mih",4,3
"38528","stn'fcs",1,1
"38529","ripening",4,2
"38530","hrhrjeet",1,1
"38531","ehepsts",1,1
"38532","onorb",1,1
"38533","carmichael",6,5
"38534","vinos",2,2
"38535","latour",8,5
"38536","blackened",2,2
"38537","goulongeitee",1,1
"38538","eeheehs",1,1
"38539","iri",10,9
"38540","zmcmurtey",1,1
"38541","ooineri",1,1
"38542","cuntvivs",1,1
"38543","tliore",2,2
"38544","ikwt",1,1
"38545","constituted",10,9
"38546","leduc",4,4
"38547","refei",1,1
"38548","merchandise",17,16
"38549","barsalou",7,7
"38550","ëxvoittatiox",1,1
"38551","denims",10,10
"38552","triangular",1,1
"38553","groobrizis",1,1
"38554","iw.xai",1,1
"38555","luire",3,3
"38556","glassware",62,44
"38557","hast",14,11
"38558","assoit",2,2
"38559","dejwirtiiient",1,1
"38560","fatware",1,1
"38561","cheapear",4,4
"38562","quirk",7,7
"38563","profils",1,1
"38564","oxi",2,2
"38565","apprised",1,1
"38566","projniganda",1,1
"38567","pope",18,9
"38568","cansifloration",1,1
"38569","desiioua",1,1
"38570","lessening",3,3
"38571","losition",1,1
"38572","delimits",1,1
"38573","jutor",1,1
"38574","despatched",9,8
"38575","archbishop",5,4
"38576","reeling",2,2
"38577","ecclesiastical",4,4
"38578","monud",1,1
"38579","nominate",1,1
"38580","recommend",13,10
"38581","pcqki",1,1
"38582","co-adjutor",1,1
"38583","jure",3,3
"38584","svcremwnit",1,1
"38585","coadjutor",2,1
"38586","fifty-six",2,2
"38587","troy",11,5
"38588","proec-tivo",1,1
"38589","papandaysng",1,1
"38590","ninko",2,2
"38591","denionstm",1,1
"38592","ihiee",1,1
"38593","flames",20,15
"38594","i'.isur",1,1
"38595","lava",8,6
"38596","mhos",3,3
"38597","roofs",5,4
"38598","soekers",1,1
"38599","brai",1,1
"38600","cary",2,2
"38601","pum",2,1
"38602","di.ünoe",1,1
"38603","uitmio",1,1
"38604","ma-e",1,1
"38605","rosiest",1,1
"38606","vaiw",1,1
"38607","qulte",1,1
"38608","a"",u",1,1
"38609","ceîî",1,1
"38610","lccui",1,1
"38611","roduced",1,1
"38612","arance",1,1
"38613","bat!,nlay",1,1
"38614","consign-apjhjai",1,1
"38615","tince",1,1
"38616","baaed",2,2
"38617","rkrthire",1,1
"38618","caids",1,1
"38619","crater",6,3
"38620","m?nt",1,1
"38621","clnremw",1,1
"38622","ensconsed",1,1
"38623","torday",1,1
"38624","blanche",4,3
"38625","icmarks",1,1
"38626","peaks",3,3
"38627","packing",1,1
"38628","lindsay",5,4
"38629","erore",1,1
"38630","ojwned",3,3
"38631","can,e",1,1
"38632","victiet",1,1
"38633","daughtei",1,1
"38634","balls",12,10
"38635","molten",4,4
"38636","grunters",1,1
"38637","tring",1,1
"38638","mures",1,1
"38639","bwk",2,2
"38640","heels",13,12
"38641","s«srtjtr»r.a",1,1
"38642","btouumg",1,1
"38643","attrac",2,2
"38644","q.-are",1,1
"38645","pneoner",1,1
"38646","fnend",6,6
"38647","vrge",2,2
"38648","numlxth",1,1
"38649","racmk",1,1
"38650","rlo",2,2
"38651","orkn",1,1
"38652","bnde",2,2
"38653","wbltb",1,1
"38654","ene",2,2
"38655","groomsmen",2,2
"38656","nich",1,1
"38657","pimilnvnd",1,1
"38658","nedy",5,5
"38659","hazen",1,1
"38660","japanese",9,8
"38661","hogo",1,1
"38662","f,,wc",1,1
"38663","tetl",1,1
"38664","empioyea",1,1
"38665","sleeiier",1,1
"38666","ow»ed",1,1
"38667","sumatra",3,3
"38668","c!f",1,1
"38669","fnel",1,1
"38670","bridesgroom",1,1
"38671","escorting",3,3
"38672","k\mo*t",1,1
"38673","llfferonti",1,1
"38674","watcheh",1,1
"38675","ehmnomeuis",1,1
"38676","sletq",1,1
"38677","j»rty",1,1
"38678","monday,and",1,1
"38679","kcd",1,1
"38680","sup-past",1,1
"38681","hwed",1,1
"38682","perished",5,5
"38683","recoeeved",1,1
