"","words","term.freq","doc.freq"
"4346","queen",4,4
"4347","anne",1,1
"4348","marlborough",1,1
"4349","ormond.he",1,1
"4350","event.from",1,1
"4351","sings",1,1
"4352","song",2,2
"4353","voice",7,6
"4354","distinct",15,15
"4355","culation.this",1,1
"4356","man's",4,4
"4357","aged",3,2
"4358","alive",3,3
"4359","lives",46,29
"4360","instructions",9,8
"4361","attorney",3,3
"4362","penn",1,1
"4363","sylvania",1,1
"4364","prosecutions",1,1
"4365","singleterry",1,1
"4366","gideon",1,1
"4367","henfield",1,1
"4368","charged",4,4
"4369","violating",1,1
"4370","entering",3,3
"4371","schooner",9,8
"4372","genet",1,1
"4373","capturing",1,1
"4374","britannic",4,3
"4375","annoying",1,1
"4376","majesty.the",1,1
"4377","goal",2,2
"4378","circuit",2,2
"4379","states.a",1,1
"4380","charleston",4,2
"4381","augusta",2,2
"4382","georgia",12,10
"4383","marching",4,4
"4384","bowles",4,3
"4385","gilpin",2,2
"4386","pugh",1,1
"4387","pugh.the",1,1
"4388","determinded",1,1
"4389","headed",4,4
"4390","successor",4,4
"4391","m'gillivray",9,5
"4392","commenced",23,21
"4393","knoxville",1,1
"4394","describe",6,6
"4395","bloody",5,4
"4396","isaac",4,4
"4397","bledose",1,1
"4398","massacred",4,4
"4399","house.on",1,1
"4400","greenfield",1,1
"4401","jervis",1,1
"4402","mrs",17,13
"4403","tarker",1,1
"4404","neely",2,1
"4405","wilson",8,7
"4406","preserved",8,8
"4407","flight",7,6
"4408","remembered",4,4
"4409","brothers",4,3
"4410","pursuit",6,6
"4411","indians.june",1,1
"4412","trace",2,2
"4413","cumberland",3,3
"4414","big",2,2
"4415","party",77,39
"4416","wounded.augusta",1,1
"4417","twiggs",1,1
"4418","crossed",10,8
"4419","oconnee",1,1
"4420","cakmulgee",1,1
"4421","halt",2,2
"4422","build",6,6
"4423","cavalry",5,5
"4424","amounting",10,10
"4425","brigadier",2,2
"4426","irwin",1,1
"4427","clark",12,6
"4428","blackburn",1,1
"4429","murders",4,4
"4430","devastations",1,1
"4431","faithless",1,1
"4432","savages.brigadier",1,1
"4433","glascock",1,1
"4434","brigade",4,3
"4435","expenditure",7,6
"4436","establishments",9,9
"4437","muir",5,4
"4438","skirving",1,1
"4439","margarot",1,1
"4440","beds",1,1
"4441","previous",18,18
"4442","hand-cuffed",1,1
"4443","post-chaise",1,1
"4444","woolwich",5,3
"4445","waits",1,1
"4446","bay.mr",1,1
"4447","palmer",3,3
"4448","hulks",5,4
"4449","vessel.between",1,1
"4450","sixty",9,8
"4451","blackfriars",1,1
"4452","bridge",7,5
"4453","behaved",4,3
"4454","turbulent",1,1
"4455","fought",6,5
"4456","lamentable",2,2
"4457","eyes",9,9
"4458","spectator",4,4
"4459","infants",3,3
"4460","humble",8,8
"4461","exhibitions",2,2
"4462","preludes",1,1
"4463","interludes",1,1
"4464","yea",1,1
"4465","lewds",1,1
"4466","stage-plays",1,1
"4467","discountenanced",1,1
"4468","pointing",2,2
"4469","corrupting",1,1
"4470","morals",2,2
"4471","walesthe",1,1
"4472","particulars",15,15
"4473","respecting",33,27
"4474","unacceptable",1,1
"4475","grant",45,27
"4476","novemeber",1,1
"4477","luxuriant",3,3
"4478","floods.governor",1,1
"4479","oraheire",1,1
"4480","singularly",2,2
"4481","porpoise",1,1
"4482","trip",3,2
"4483","brig",21,19
"4484","failed",10,9
"4485","grant's",1,1
"4486","sydney.the",1,1
"4487","understanding",6,6
"4488","otaheite",9,9
"4489","stape",2,2
"4490","commodity",3,3
"4491","coals",9,8
"4492","abundance",11,10
"4493","hunter's",2,1
"4494","plenty",14,9
"4495","wood",26,15
"4496","masting",1,1
"4497","shipping",12,11
"4498","horn",5,5
"4499","anna",24,10
"4500","josepha",1,1
"4501","loaded",5,4
"4502","spars",1,1
"4503","rix",1,1
"4504","sterling.)governor",1,1
"4505","newcastle.mr",1,1
"4506","nelson",3,2
"4507","survey",6,4
"4508","pentrated",1,1
"4509","seventy",4,4
"4510","paterson",3,3
"4511","discover",4,4
"4512","resembling",3,3
"4513","sustic",1,1
"4514","found.mr",1,1
"4515","burthen",5,4
"4516","sliding",1,1
"4517","keels",1,1
"4518","schank's",1,1
"4519","construction",4,4
"4520","straits",9,7
"4521","separate",9,8
"4522","van",53,36
"4523","diemens",1,1
"4524","higher",16,11
"4525","latitude",10,6
"4526","observes",6,3
"4527","lies",10,9
"4528","bold",5,5
"4529","offing",1,1
"4530","fathoms",2,2
"4531","shells.by",1,1
"4532","wilson's",1,1
"4533","promontory",1,1
"4534","sheltered",1,1
"4535","capable",11,11
"4536","procured",8,8
"4537","shoals",1,1
"4538","favourable",21,17
"4539","report",60,32
"4540","glasgowquebec",1,1
"4541","characters",8,7
"4542","dissolved",1,1
"4543","improper",4,4
"4544","proprietor",2,2
"4545","canadien",2,1
"4546","arrested",8,5
"4547","jail",7,5
"4548","treasonable",2,1
"4549","seditious",1,1
"4550","practises",3,2
"4551","printing",2,2
"4552","types",1,1
"4553","vigorous",4,4
"4554","james",50,26
"4555","craig",4,3
"4556","astonished",3,2
"4557","crushed",3,2
"4558","faction",1,1
"4559","acquiring",1,1
"4560","ingluence",1,1
"4561","misled",1,1
"4562","demagogues",1,1
"4563","seize",5,3
"4564","stirring",1,1
"4565","preserve",3,3
"4566","frenchmen",1,1
"4567","conquest.quebec",1,1
"4568","printer",1,1
"4569","lafrancois",1,1
"4570","warrant",8,7
"4571","blanchet",1,1
"4572","bedard",1,1
"4573","taschereau",1,1
"4574","charges.the",1,1
"4575","head-quarters",8,7
"4576","curt",2,2
"4577","celebrate",2,2
"4578","birthday-day–at",1,1
"4579","nobility",1,1
"4580","gentry",1,1
"4581","field-officers",1,1
"4582","present.among",1,1
"4583","accidents",1,1
"4584","occurred",18,18
"4585","birth-day",1,1
"4586","imprudent",1,1
"4587","gunpowder",2,2
"4588","girl",3,3
"4589","street",20,14
"4590","squib",1,1
"4591","infirmary",13,5
"4592","severely",11,10
"4593","morning.a",1,1
"4594","berwickshire",1,1
"4595","baggage",5,5
"4596","carts",2,2
"4597","forfarshire",1,1
"4598","stopping",4,3
"4599","boy",7,7
"4600","serjeant-major",1,1
"4601","nicol",1,1
"4602","cart",4,3
"4603","climbing",1,1
"4604","wheel",5,3
"4605","suddengoing",1,1
"4606","threw",6,6
"4607","passing",9,9
"4608","mother",21,12
"4609","happened.on",1,1
"4610","gibson-street",1,1
"4611","shilling",3,3
"4612","counterfeit",1,1
"4613","half-guinea",1,1
"4614","pocket-book",1,1
"4615","partial",2,2
"4616","payments",9,4
"4617","marked",9,9
"4618","villians",1,1
"4619","forcing",1,1
"4620","shutter",1,1
"4621","bar",5,5
"4622","breaking",4,4
"4623","pane",1,1
"4624","glass",6,5
"4625","bolts",2,2
"4626","opened.on",1,1
"4627","sturday",1,1
"4628","porter",2,2
"4629","dundee",7,5
"4630","unloading",1,1
"4631","rope",2,2
"4632","pully",1,1
"4633","instantly.a",1,1
"4634","mason",4,3
"4635","stevenson",1,1
"4636","blowing",10,10
"4637","stones",4,4
"4638","templeton",1,1
"4639","auchterhouse",1,1
"4640","unfortunately",5,4
"4641","explosion",4,4
"4642","lament",4,4
"4643","agitation",3,3
"4644","occasioned",14,13
"4645","pointe",2,1
"4646","claire",2,1
"4647","matter",28,20
"4648","clothed",5,5
"4649","dress",12,12
"4650","misrepresentatation",1,1
"4651","enemies",3,3
"4652","dury",1,1
"4653","owe",5,3
"4654","candid",5,5
"4655","manner.by",1,1
"4656","drafted",3,2
"4657","trained",3,3
"4658","furnished",11,10
"4659","lapraire",2,1
"4660","divion",1,1
"4661","leprohon",1,1
"4662","battalion",10,6
"4663","attendants",4,3
"4664","apprehend",2,2
"4665","refractory",1,1
"4666","deserters.they",1,1
"4667","rescued",3,3
"4668","prisoner",6,5
"4669","depot",6,3
"4670","wednesday",26,21
"4671","chine",1,1
"4672","intention",18,17
"4673","threats",2,2
"4674","execution.thomas",1,1
"4675","m'cord",3,1
"4676","police",10,6
"4677","detachment",16,14
"4678","field-pieces",2,2
"4679","plenderleath",2,2
"4680","point",23,21
"4681","opposite",9,9
"4682","impropriety",1,1
"4683","await",2,2
"4684","perseverance",5,4
"4685","urging",1,1
"4686","persuasion",5,5
"4687","disperse",3,1
"4688","peaceably",1,1
"4689","obey",2,2
"4690","law.they",1,1
"4691","passed–that",1,1
"4692","legislate",1,1
"4693","enacted",8,4
"4694","promagated",1,1
"4695","it.under",1,1
"4696","false",6,5
"4697","deluded",3,2
"4698","persisted",3,2
"4699","shouts",1,1
"4700","vive",1,1
"4701","roi",1,1
"4702","wanted",14,14
"4703","defence",20,10
"4704","faithful",4,4
"4705","firmly",3,3
"4706","attached",4,4
"4707","principle.finding",1,1
"4708","magisterial",1,1
"4709","capacity",9,9
"4710","riot",1,1
"4711","spirited",4,4
"4712","volley",2,2
"4713","grape",3,3
"4714","harm",3,3
"4715","mob",1,1
"4716","direct",9,9
"4717","shots",3,3
"4718","dark",11,11
"4719","feared",4,4
"4720","mortally",1,1
"4721","brock",3,2
"4722","administering",2,2
"4723","major-general",4,4
"4724","commanding",7,5
"4725","forces",13,11
"4726","therein",4,4
"4727","fort-george",1,1
"4728","proceeded",46,31
"4729","p.m",2,2
"4730","extra",2,2
"4731","honourable",22,15
"4732","assemblythe",1,1
"4733","urgency",2,2
"4734","crisis",4,3
"4735","induced",10,7
"4736","attention.but",1,1
"4737","invaded",2,2
"4738","enemy",44,14
"4739","avowed",3,3
"4740","entire",7,7
"4741","conquest",4,4
"4742","loyalty",7,3
"4743","calls",4,4
"4744","sphere",1,1
"4745","placed",28,23
"4746","defend",6,5
"4747","country.our",1,1
"4748","obeyed",8,8
"4749","evinced",4,4
"4750","promptitude",2,2
"4751","particulary",2,2
"4752","address",21,16
"4753","legislators",3,2
"4754","assist",6,6
"4755","counsels",1,1
"4756","arms.we",1,1
"4757","conceal",4,4
"4758","instructor",1,1
"4759","amendment",15,5
"4760","efficient",4,4
"4761","improvements",10,9
"4762","require.honourable",1,1
"4763","assemblyfrom",1,1
"4764","history",4,4
"4765","actual",9,7
"4766","invasion",11,8
"4767","interal",1,1
"4768","commotion",2,2
"4769","ordinary",16,13
"4770","criminal",9,8
"4771","treachery",1,1
"4772","disaffection",1,1
"4773","enact",1,1
"4774","expose",1,1
"4775","justify",4,4
"4776","reposed",1,1
"4777","emergency",2,2
"4778","houses.a",1,1
"4779","traitors",1,1
"4780","joined",10,10
"4781","enemy–have",1,1
"4782","impunity–and",1,1
"4783","harboured",1,1
"4784","concealed",3,3
"4785","pervade",1,1
"4786","authorise",5,3
"4787","mislead",1,1
"4788","deceive",2,2
"4789","unavailing",1,1
"4790","disaffected",1,1
"4791","convinced",10,8
"4792","few–to",0,0
"4793","loyal",11,7
"4794","deliberations.the",1,1
"4795","concludes",6,5
"4796","supplies.proclamationthe",1,1
"4797","declaration",5,4
"4798","dependencies",4,4
"4799","disticts",2,2
"4800","invite",1,1
"4801","merely",28,26
"4802","quiet",6,6
"4803","unresisting",1,1
"4804","submission",1,1
"4805","insults",2,2
"4806","seek",8,7
"4807","voluntarily",2,2
"4808","government.without",1,1
"4809","condescending",1,1
"4810","repeat",2,2
"4811","illiberal",1,1
"4812","bestowed",3,3
"4813","appeal",6,4
"4814","confutation",1,1
"4815","indecent",1,1
"4816","slander",2,2
"4817","review",2,2
"4818","cirumstances",3,3
"4819","canadian",14,11
"4820","affirm",1,1
"4821","growth",7,5
"4822","exhibits",2,2
"4823","veterans",1,1
"4824","exiled",1,1
"4825","descendant",2,2
"4826","brave",7,7
"4827","fostering",2,2
"4828","ancestors",2,2
"4829","unequalled",1,1
"4830","maritime",4,4
"4831","secured",9,8
"4832","access",1,1
"4833","request",10,8
"4834","unavoidable",1,1
"4835","separation",4,4
"4836","exclusion",3,3
"4837","ocean",12,12
"4838","enforces",1,1
"4839","flattered",1,1
"4840","participation",5,3
"4841","boasted",3,3
"4842","obvious",10,9
"4843","exchanged",1,1
"4844","re-annexed",1,1
"4845","dominion",2,2
"4846","wrested",1,1
"4847","treasure",6,6
"4848","motive",2,2
"4849","ungrateful",2,2
"4850","cruel",6,5
"4851","neighbour",2,2
"4852","restitution",4,3
"4853","stipulated",5,5
"4854","reward",8,8
"4855","revolted",2,2
"4856","pledge",4,4
"4857","relaxation",2,2
"4858","tyranny",5,3
"4859","despot",2,2
"4860","rules",5,4
"4861","rod",3,3
"4862","arise",6,5
"4863","energies",3,2
"4864","co-operate",1,1
"4865","repel",2,2
"4866","invader",2,2
"4867","reproach",4,3
"4868","richest",3,3
"4869","earth–a",1,1
"4870","britain.[the",1,1
"4871","ranks",1,1
"4872","retaliation",4,3
"4873","place.]isaac",1,1
"4874","major-gen",1,1
"4875","papersprovincial",1,1
"4876","council–aug",1,1
"4877","usual",32,22
"4878","throne",6,4
"4879","usher",2,2
"4880","black",20,16
"4881","speaker",9,5
"4882","said–may",1,1
"4883","excellencyhis",1,1
"4884","intituled",1,1
"4885","powerfully",3,3
"4886","basis",1,1
"4887","formation",8,8
"4888","unjust",6,6
"4889","obligation",3,3
"4890","ameliorate",1,1
"4891","insure",4,4
"4892","punctual",1,1
"4893","guaranteed",2,2
"4894","moreover",4,4
"4895","provides",3,3
"4896","accruing",1,1
"4897","therefrom",5,2
"4898","specie",9,7
"4899","expressly",6,6
"4900","prefer",2,2
"4901","payment.in",1,1
"4902","confidence",9,9
"4903","unforeseen",1,1
"4904","invested",5,4
"4905","rely",2,2
"4906","humbly",4,4
"4907","requesting",3,3
"4908","thereto",8,6
"4909","assent.his",2,1
"4910","signify",1,1
"4911","provincial",5,5
"4912","prorogued",3,3
"4913","canadaextract",3,3
"4914","plattsburgh",5,4
"4915","ocular",1,1
"4916","observation",9,9
"4917","bloomfield",1,1
"4918","mooar",1,1
"4919","petit",2,2
"4920","composed",13,11
"4921","regulars",6,6
"4922","volunteers",7,5
"4923","southward",5,4
"4924","yankees",2,1
"4925","entertained",19,16
"4926","theywill",1,1
"4927","movements",3,3
"4928","getting",3,3
"4929","stockings",3,3
"4930","campaign",2,2
"4931","preparation",4,4
"4932","prevost",2,2
"4933","cordon",2,1
"4934","chambly",2,2
"4935","extending",16,16
"4936","chateaguny",1,1
"4937","encampment",4,4
"4938","prairie",5,5
"4939","murray",10,5
"4940","isle-au",1,1
"4941","noix",4,4
"4942","strongly",11,9
"4943","fortified",2,2
"4944","boom",1,1
"4945","voltigeurs",1,1
"4946","royals",3,3
"4947","camp",15,11
"4948","mount",10,3
"4949","battalions",2,2
"4950","disciplined",2,1
"4951","alarm",16,11
"4952","embodied",3,3
"4953","inrolled",2,2
"4954","lieutenant-colonel",10,6
"4955","voyageurs",1,1
"4956","advance",29,21
"4957","handsomely",2,2
"4958","commandant",2,2
"4959","shaw",1,1
"4960","partners",8,5
"4961","captains",3,3
"4962","subordination.sir",1,1
"4963","confines",1,1
"4964","mere",9,8
"4965","motte",1,1
"4966","advanced",19,16
"4967","woods",23,15
"4968","hearing",3,3
"4969","redoubtable",1,1
"4970","whoop",2,2
"4971","terrified",1,1
"4972","successive",3,3
"4973","nights",4,4
"4974","attack–to",1,1
"4975","roads",19,16
"4976","invade",1,1
"4977","headquarters",1,1
"4978","destroy",9,9
"4979","line.this",1,1
"4980","forebearance",1,1
"4981","impute",1,1
"4982","fear",7,7
"4983","weakness",2,2
"4984","tends",3,3
"4985","swaggering",1,1
"4986","enmity",1,1
"4987","inveterate",3,3
"4988","allayed",1,1
"4989","knocks",1,1
"4990","canadathe",6,6
"4991","rota",1,1
"4992","frigate",9,9
"4993","convoy",3,2
"4994","hydra",1,1
"4995","official",22,18
"4996","notification",1,1
"4997","yeo's",1,1
"4998","lake",20,9
"4999","notices",3,3
"5000","published.bulletin.head-quarters",1,1
"5001","commodore",4,3
"5002","yeo",4,3
"5003","half-past",6,5
"5004","transmitted",5,5
"5005","capture",7,6
"5006","enemy's",14,5
"5007","schooners:–on",1,1
"5008","chauncey",2,2
"5009","weigh",3,3
"5010","anchorage",1,1
"5011","breeze",4,3
"5012","becalmed",1,1
"5013","sun-set",2,2
"5014","schooners",8,2
"5015","pike",3,1
"5016","madison",3,1
"5017","oneida",1,1
"5018","windward",3,2
"5019","raking",1,1
"5020","gun-shot",1,1
"5021","fast",3,3
"5022","wolf",4,1
"5023","headmost",1,1
"5024","astern",1,1
"5025","stern-chasers",1,1
"5026","ward",5,4
"5027","captured",8,6
"5028","julia",1,1
"5029","growler",1,1
"5030","pounder",3,2
"5031","scourge",1,1
"5032","upset",2,2
"5033","our's",2,2
"5034","mounts",1,1
"5035","pounders",3,2
"5036","loads",3,2
"5037","repelling",2,2
"5038","boarders",1,1
"5039","hurt",3,3
"5040","prisoners",25,15
"5041","growler's",1,1
"5042","damage",13,9
"5043","repaired",1,1
"5044","bowsprit",1,1
"5045","up.nothing",1,1
"5046","eagerness",1,1
"5047","enthusiasm",4,4
"5048","mercury",2,2
"5049","schlosser",2,1
"5050","rottenburg",2,1
"5051","schlosser.in",1,1
"5052","volunteer",1,1
"5053","thompson",5,5
"5054","privates",9,7
"5055","ensign",3,3
"5056","winder",1,1
"5057","thirty-four",1,1
"5058","clarke",3,3
"5059","lincoln",5,3
"5060","chippawa",9,4
"5061","day-break",1,1
"5062","lieutenants",2,2
"5063","serjeant",6,5
"5064","civilians",2,2
"5065","stores",21,14
"5066","brass",1,1
"5067","six-pounder",1,1
"5068","kegs",1,1
"5069","musket",2,1
"5070","cartridges",1,1
"5071","bulwarks",1,1
"5072","curtains",1,1
"5073","gun-boat",2,2
"5074","batteaux",2,1
"5075","casks",2,2
"5076","whiskey",1,1
"5077","spades",1,1
"5078","oars",4,2
"5079","axes",2,2
"5080","pushed",2,2
"5081","creditable",5,5
"5082","warriors",18,15
"5083","serving",3,3
"5084","endeavour",6,6
"5085","medicines",3,1
"5086","surgical",1,1
"5087","instruments",4,3
"5088","skirmish",1,1
"5089","ensued",5,5
"5090","prisoners–the",1,1
"5091","norton",2,2
"5092","merrit",1,1
"5093","dragoons",3,3
"5094","reconnoitering",1,1
"5095","conducting",4,4
"5096","barracks",4,2
"5097","gravelly",1,1
"5098","gun-boats",1,1
"5099","durham",4,4
"5100","colleced",1,1
"5101","sacket's",2,1
"5102","destroyed.attack",1,1
"5103","rock",6,3
"5104","o.–his",1,1
"5105","reporting",2,2
"5106","dockyard",1,1
"5107","daybreak",1,1
"5108","inst",23,18
"5109","detachments",5,5
"5110","liutenant",3,3
"5111","fitzgibbon's",1,1
"5112","bishopp",3,1
"5113","six-pounders",1,1
"5114","naval",8,8
"5115","store-houses",1,1
"5116","burnt.unfortunately",1,1
"5117","evacuation",3,3
"5118","completed",8,8
"5119","reinforcement",2,2
"5120","saunders",1,1
"5121","montpesson",1,1
"5122","file",1,1
"5123","wound",2,2
"5124","over.lieutenant-colonel",1,1
"5125","wounds",1,1
"5126","dangerous.by",1,1
"5127","excellency's",1,1
"5128","commandedward",1,1
"5129","baynes",1,1
"5130","adjutant-generalbritish",1,1
"5131","expedition",29,17
"5132","plattsburghthe",1,1
"5133","citizen",4,4
"5134","burlington",3,1
"5135","express",14,12
"5136","isle",11,10
"5137","sloops",1,1
"5138","gallies",1,1
"5139","progressed",1,1
"5140","instantly",11,11
"5141","learnt",2,2
"5142","retreated",4,3
"5143","arsenal",1,1
"5144","pike's",1,1
"5145","serenac",1,1
"5146","cantonment",1,1
"5147","dearborn",3,1
"5148","invading",1,1
"5149","greenbush",1,1
"5150","edwards",1,1
"5151","murehead",1,1
"5152","dickson",2,2
"5153","lyminston",1,1
"5154","lawe",2,1
"5155","kerrs",2,1
"5156","m'ewan",1,1
"5157","addison",1,1
"5158","howell",1,1
"5159","heron",1,1
"5160","green",6,4
"5161","baldwin",1,1
"5162","clinch",1,1
"5163","jones",4,4
"5164","decoe",1,1
"5165","crook",1,1
"5166","m'ewen",1,1
"5167","americans.general",1,1
"5168","resigned",2,2
"5169","indisposition",1,1
"5170","lewis",4,3
"5171","events",11,10
"5172","deranged",1,1
"5173","convalescence",1,1
"5174","relapsed",1,1
"5175","topics",3,3
"5176","nominated",2,2
"5177","boyd.the",1,1
"5178","tecumseh",1,1
"5179","diversion",3,3
"5180","surround",1,1
"5181","meigs",1,1
"5182","possibility",2,2
"5183","urgently",1,1
"5184","collecting",3,3
"5185","relief.sir",1,1
"5186","swept",2,2
"5187","sodus",1,1
"5188","genessee",1,1
"5189","inflicted",4,4
"5190","vincent",3,3
"5191","marinersthere",1,1
"5192","commencement",8,6
"5193","beaufort",2,2
"5194","parole",1,1
"5195","melpomene",1,1
"5196","meuron's",2,2
"5197","mediterranean",3,3
"5198","lawrence",8,5
"5199","july.james",1,1
"5200","gready",1,1
"5201","terence",1,1
"5202","hunt",5,4
"5203","foot",14,13
"5204","tried",8,8
"5205","martials",1,1
"5206","deserting",2,2
"5207","publicy",1,1
"5208","sentence.it",1,1
"5209","wilkinson",4,3
"5210","chest",2,2
"5211","british.captain",1,1
"5212","waugh",1,1
"5213","chamely",1,1
"5214","july.general",1,1
"5215","hampton",3,3
"5216","defalcation",1,1
"5217","victory",5,4
"5218","canadaby",1,1
"5219","dunlop",3,2
"5220","abrams",1,1
"5221","greenock",17,13
"5222","lieut.-col",1,1
"5223","morrison",2,2
"5224","ended",5,4
"5225","produced",24,23
"5226","steps",9,8
"5227","actively",3,3
"5228","pur",1,1
"5229","sued",2,2
"5230","alexander",17,11
"5231","henry",13,8
"5232","tuesday:–quebec",1,1
"5233","boyd",2,2
"5234","instant.the",1,1
"5235","gen.conington",1,1
"5236","preston",1,1
"5237","killed–probably",1,1
"5238","taken.the",1,1
"5239","precipitate",3,3
"5240","cornwall",3,3
"5241","evacuating",1,1
"5242","marched",7,7
"5243","route",11,9
"5244","salmon",3,2
"5245","frozen",2,2
"5246","them.colonel",1,1
"5247","moravian",2,1
"5248","barbarous",3,3
"5249","irruption",1,1
"5250","province:–yesterday",1,1
"5251","afflicting",10,8
"5252","erle",1,1
"5253","s[?]al",1,1
"5254","occupying",5,4
"5255","chapel",7,5
"5256","malice",3,3
"5257","congregation",12,4
"5258","brethren",3,2
"5259","cottages",2,2
"5260","denke",1,1
"5261","schnall",1,1
"5262","missionary",10,9
"5263","michael",1,1
"5264","remained.during",1,1
"5265","tone",2,2
"5266","showed",5,4
"5267","curses",1,1
"5268","plundering",3,2
"5269","appealed",1,1
"5270","redress",1,1
"5271","exable",1,1
"5272","pretence",4,4
"5273","ransacked",1,1
"5274","trunk",3,2
"5275","perry",1,1
"5276","mosquito",1,1
"5277","advicing",1,1
"5278","difficulty",19,15
"5279","shortly",11,11
"5280","outhouse",1,1
"5281","journey",16,11
"5282","silitiz",1,1
"5283","intelligencea",2,2
"5284","macquarrie",12,9
"5285","stating",14,13
"5286","peter",3,3
"5287","deputy",10,6
"5288","surveyor",5,3
"5289","dalrymple",1,1
"5290","dieman's",25,18
"5291","williams",4,3
"5292","commissary",2,2
"5293","absconded",1,1
"5294","habitations",2,2
"5295","rapine",1,1
"5296","gang",3,2
"5297","desperadoes",1,1
"5298","robberies–entering",1,1
"5299","driving",3,3
"5300","cattle",19,13
"5301","declares",1,1
"5302","pardoned",2,2
"5303","harmless",1,1
"5304","offences",5,4
"5305","crime",8,5
"5306","wilful",4,4
"5307","denounces",1,1
"5308","disregard",2,2
"5309","outlaws.sydney",1,1
"5310","walves",3,3
"5311","jan",5,4
"5312","argo",1,1
"5313","tea",6,5
"5314","chests",2,1
"5315","souchong",1,1
"5316","ditto",131,9
"5317","bobea",1,1
"5318","hyson",2,1
"5319","skin",3,3
"5320","souching",1,1
"5321","argo's",1,1
"5322","mauritius",4,4
"5323","sundies",1,1
"5324","harpy",1,1
"5325","allen.in",1,1
"5326","oppressive",7,7
"5327","masters",4,4
"5328","crews",4,3
"5329","zealand",39,19
"5330","disturbed",5,5
"5331","ofthe",4,4
"5332","allied",3,3
"5333","powers–his",1,1
"5334","forbidden",2,2
"5335","clear",21,16
"5336","bond",6,4
"5337","owner",4,4
"5338","binding",3,3
"5339","crew",59,23
"5340","guilty",7,7
"5341","trespass",1,1
"5342","forment",1,1
"5343","prevail",14,13
"5344","penalty",2,2
"5345","forfeiting",1,1
"5346","bond.a",1,1
"5347","undertook",1,1
"5348","ascertaining",2,2
"5349","grazing",2,2
"5350","track",14,7
"5351","campbell",13,6
"5352","thither",5,5
"5353","herd",4,4
"5354","example",10,9
"5355","others.thomas",1,1
"5356","convict",7,4
"5357","cornwall's",1,1
"5358","conditional",1,1
"5359","pardon",3,3
"5360","sobriety",2,2
"5361","mill",6,4
"5362","grinding",1,1
"5363","barcorn",1,1
"5364","vicinty",1,1
"5365","town.sydney",1,1
"5366","maintained",5,5
"5367","fields",7,7
"5368","settler",10,8
"5369","veteran",3,3
"5370","narushed",1,1
"5371","eustace",1,1
"5372","compelled",6,6
"5373","plundered",21,12
"5374","milehouse",1,1
"5375","butcher",2,2
"5376","children–the",1,1
"5377","baker",4,3
"5378","stock-keeper",1,1
"5379","macarthur",1,1
"5380","sullivan",3,2
"5381","herburg.sydney",1,1
"5382","feb",9,9
"5383","hewett",2,1
"5384","earle",1,1
"5385","oglivie",1,1
"5386","windham",1,1
"5387","bligh",2,2
"5388","molle",2,1
"5389","o'connell",1,1
"5390","walters",1,1
"5391","agent",27,21
"5392","canada[extracts",1,1
"5393","sadly",1,1
"5394","adhered",3,3
"5395","reinforcements",3,3
"5396","handful",3,3
"5397","fellows",3,3
"5398","sacrificed",3,3
"5399","par",2,2
"5400","petite",1,1
"5401","guerre",1,1
"5402","doing",8,8
"5403","nothing.some",1,1
"5404","inspecting",2,2
"5405","men's",2,2
"5406","stepped",2,2
"5407","plainly",2,2
"5408","systems",2,2
"5409","exploded–that",1,1
"5410","celebratedgeneral",1,1
"5411","again–that",1,1
"5412","retire",5,4
"5413","numberless",1,1
"5414","representations",5,4
"5415","to.montreal",1,1
"5416","perfectly",19,13
"5417","withstanding",2,2
"5418","unhis",1,1
"5419","offensive",3,3
"5420","summer",21,17
"5421","a-week",2,2
"5422","bowing",1,1
"5423","scraping",2,2
"5424","emplying",1,1
"5425","be.you",1,1
"5426","jacob",3,3
"5427","brown",10,8
"5428","erie",9,3
"5429","rial",1,1
"5430","gallantly",1,1
"5431","assailed",2,2
"5432","overpowered",4,3
"5433","inclose",2,2
"5434","great.upon",1,1
"5435","sorel",2,2
"5436","aux",3,3
"5437","province.i",1,1
"5438","sincerely",3,3
"5439","investigation",6,6
"5440","disgraceful",6,6
"5441","impunity",2,2
"5442","correspondencequebec",1,1
"5443","tacked",1,1
"5444","michillimackinac",3,2
"5445","huron",2,2
"5446","garrison.the",1,1
"5447","chiens",1,1
"5448","enemy.major",1,1
"5449","conran",1,1
"5450","break",3,3
"5451","leg",1,1
"5452","accident.on",1,1
"5453","odell",1,1
"5454","champlain",8,4
"5455","izard",2,2
"5456","sackett's",5,2
"5457","gene",2,2
"5458","rals",1,1
"5459","brisbane",2,2
"5460","robinson",2,2
"5461","chasseurs",1,1
"5462","c.the",1,1
"5463","lowland",1,1
"5464","quartered",2,2
"5465","canada.the",4,3
"5466","scots",6,5
"5467","quebec.the",1,1
"5468","flank",8,4
"5469","watteville",3,2
"5470","drummon",2,2
"5471","montreal.on",1,1
"5472","drummond",8,5
"5473","assaulted",1,1
"5474","columns",7,5
"5475","scott",10,5
"5476","fischer",1,1
"5477","watteville's",1,1
"5478","hill",13,8
"5479","snake-hill",1,1
"5480","situated",10,10
"5481","stone",12,9
"5482","block-houses",1,1
"5483","inside",2,2
"5484","blew",4,4
"5485","battery",2,2
"5486","consternation",2,2
"5487","abandon",9,8
"5488","original",10,9
"5489","men.the",2,2
"5490","ship-building",1,1
"5491","guns.the",2,2
"5492","adjacent",3,3
"5493","distributed",4,4
